model	validation_status	PC1_control	PC2_control	PC3_control	control_norm	direction_cosine_to_measured_correction	PC1_recovery	PC2_recovery	PC3_recovery	PC3_negative_pull_recovered	PC1_negative_pull_recovered	center_error_vs_observed	latent_mean_rmse	latent_mmd_rbf	latent_sliced_wasserstein	latent_covariance_frobenius	dmr_mean_rmse	dmr_correlation	dmr_distributional_rmse	basin_radius_q90	basin_radius_q95	pred_basin_occupancy_q90	pred_basin_occupancy_q95	observed_basin_occupancy_q90	observed_basin_occupancy_q95	pred_mean_distance_to_morula_centroid	observed_mean_distance_to_morula_centroid	closure_modules	access_modules	random_id
random_partition_0294	random_3closure_2access_partition	-0.5114163910846092	-0.6633442400143362	-0.4525726996092116	0.952047453786718	0.6556329349828957	0.6462104009230666	19.5974778979872	0.2360211309001109	0.2360211309001109	0.6462104009230666	0.7032683933050696	0.9346478108341745	0.6987099106102306	0.8457842395277055	0.8487798699346262	0.24305152018113935	0.63805670033192	0.24355853004463382	1.5666635350021403	1.9104332695957345	0.37777777777777777	0.6	0.875	0.875	1.7256698792165073	1.0224014859114376	M02,M05,M01	M12,M10	294
random_partition_0295	random_3closure_2access_partition	-0.05532019060292215	-0.4894060021132148	-0.37746599348604115	0.6205313325136674	0.6090857690862461	0.0699009323358596	14.458742129650089	0.19685224216095426	0.19685224216095426	0.0699009323358596	0.8373352046913101	1.0199823296035575	0.7788944704985183	0.9139411313033402	0.8487798699346262	0.2435613623700897	0.6332894466031914	0.2440770192189053	1.5666635350021403	1.9104332695957345	0.3111111111111111	0.5111111111111111	0.875	0.875	1.8597366906027477	1.0224014859114376	M12,M05,M02	M01,M10	295
random_partition_0296	random_3closure_2access_partition	0.4985611456354394	0.35505592949549347	1.1477107650967062	1.3007182359473928	-0.966185899041614	-0.6299668986409934	-10.489577373411509	-0.5985424948483627	-0.5985424948483627	-0.6299668986409934	2.381388386017979	1.9331185458978417	1.185410028635973	1.6457959962097128	0.8487798699346262	0.2546653163516635	0.5866691797114723	0.25517049754395243	1.5666635350021403	1.9104332695957345	0.0	0.0	0.875	0.875	3.403789871929417	1.0224014859114376	M02,M12,M10	M05,M01	296
random_partition_0297	random_3closure_2access_partition	0.04246494515375235	0.18111769159437197	1.0726040589735357	1.0886167172618146	-0.9282410785288797	-0.053657430053786495	-5.350841605074397	-0.5593736061092061	-0.5593736061092061	-0.053657430053786495	2.1514678016027777	1.7965089180972273	1.1648171226389898	1.5634484265037787	0.8487798699346262	0.2526875051396933	0.5950790894041167	0.2531958543903743	1.5666635350021403	1.9104332695957345	0.0	0.0	0.875	0.875	3.1738692875142154	1.0224014859114376	M10,M02,M01	M05,M12	297
random_partition_0298	random_3closure_2access_partition	0.4985611456354394	0.35505592949549347	1.1477107650967062	1.3007182359473928	-0.966185899041614	-0.6299668986409934	-10.489577373411509	-0.5985424948483627	-0.5985424948483627	-0.6299668986409934	2.381388386017979	1.9331185458978417	1.185410028635973	1.5030159607034819	0.8487798699346262	0.2546653163516635	0.5866691797114723	0.25517049754395243	1.5666635350021403	1.9104332695957345	0.0	0.0	0.875	0.875	3.403789871929417	1.0224014859114376	M10,M12,M02	M05,M01	298
random_partition_0299	random_3closure_2access_partition	0.4268955237134878	0.18314250575506102	-0.4639360197412796	0.6565193035960455	0.40053277053845515	-0.5394123699205335	-5.410661602547771	0.24194721453411389	0.24194721453411389	-0.5394123699205335	0.9750708004366457	1.1021531699144667	0.874039604087178	1.0177161200866458	0.8487798699346262	0.24382760999231254	0.6290242445631923	0.24435145484410084	1.5666635350021403	1.9104332695957345	0.1111111111111111	0.4444444444444444	0.875	0.875	1.9974722863480834	1.0224014859114376	M12,M10,M05	M01,M02	299
random_partition_0300	random_3closure_2access_partition	0.3719843560469491	-0.424229847428685	0.3872973853692594	0.6843556015018022	-0.7202864255829007	-0.4700282666897139	12.533213612392952	-0.20197941008911913	-0.20197941008911913	-0.4700282666897139	1.6520018577954243	1.5075381821894391	1.0847570944196485	1.328257995319885	0.8487798699346262	0.2485047528203614	0.6131084905588456	0.24902200659588378	1.5666635350021403	1.9104332695957345	0.0	0.044444444444444446	0.875	0.875	2.674403343706862	1.0224014859114376	M02,M05,M10	M01,M12	300
random_partition_0301	random_3closure_2access_partition	-0.05532019060292215	-0.4894060021132148	-0.37746599348604115	0.6205313325136674	0.6090857690862461	0.0699009323358596	14.458742129650089	0.19685224216095426	0.19685224216095426	0.0699009323358596	0.8373352046913101	1.0199823296035575	0.7788944704985183	0.9176018021240888	0.8487798699346262	0.2435613623700897	0.6332894466031914	0.2440770192189053	1.5666635350021403	1.9104332695957345	0.3111111111111111	0.5111111111111111	0.875	0.875	1.8597366906027477	1.0224014859114376	M12,M05,M02	M01,M10	301
random_partition_0302	random_3closure_2access_partition	0.4985611456354394	0.35505592949549347	1.1477107650967062	1.3007182359473928	-0.966185899041614	-0.6299668986409934	-10.489577373411509	-0.5985424948483627	-0.5985424948483627	-0.6299668986409934	2.381388386017979	1.9331185458978417	1.185410028635973	1.851022390432305	0.8487798699346262	0.2546653163516635	0.5866691797114723	0.25517049754395243	1.5666635350021403	1.9104332695957345	0.0	0.0	0.875	0.875	3.403789871929417	1.0224014859114376	M10,M12,M02	M05,M01	302
random_partition_0303	random_3closure_2access_partition	-0.5114163910846092	-0.6633442400143362	-0.45257269960921165	0.952047453786718	0.6556329349828957	0.6462104009230666	19.5974778979872	0.23602113090011093	0.23602113090011093	0.6462104009230666	0.7032683933050696	0.9346478108341745	0.6987099106102308	0.8138618034611789	0.8487798699346262	0.24305152018113935	0.63805670033192	0.24355853004463382	1.5666635350021403	1.9104332695957345	0.37777777777777777	0.6	0.875	0.875	1.7256698792165073	1.0224014859114376	M01,M05,M02	M12,M10	303
random_partition_0304	random_3closure_2access_partition	0.3719843560469491	-0.424229847428685	0.38729738536925945	0.6843556015018022	-0.7202864255829009	-0.4700282666897139	12.533213612392952	-0.20197941008911915	-0.20197941008911915	-0.4700282666897139	1.6520018577954243	1.5075381821894391	1.0847570944196485	1.1660184001673604	0.8487798699346262	0.2485047528203614	0.6131084905588455	0.24902200659588378	1.5666635350021403	1.9104332695957345	0.0	0.044444444444444446	0.875	0.875	2.674403343706862	1.0224014859114376	M02,M10,M05	M01,M12	304
random_partition_0305	random_3closure_2access_partition	-0.029200676768199152	0.009204267853939518	-0.5390427258644501	0.5399115282875747	0.9431070302560126	0.036897098666673386	-0.2719258342106587	0.2811161032732706	0.2811161032732706	0.036897098666673386	0.6664884124222956	0.9097589800585225	0.7190713154471746	0.8146079334682031	0.8487798699346262	0.24252440819269136	0.6352857691899544	0.24304650695373106	1.5666635350021403	1.9104332695957345	0.4	0.6888888888888889	0.875	0.875	1.6888898983337333	1.0224014859114376	M10,M01,M05	M12,M02	305
random_partition_0306	random_3closure_2access_partition	0.4985611456354394	0.35505592949549347	1.1477107650967062	1.3007182359473928	-0.966185899041614	-0.6299668986409934	-10.489577373411509	-0.5985424948483627	-0.5985424948483627	-0.6299668986409934	2.381388386017979	1.9331185458978417	1.185410028635973	1.7030654350554193	0.8487798699346262	0.2546653163516635	0.5866691797114723	0.25517049754395243	1.5666635350021403	1.9104332695957345	0.0	0.0	0.875	0.875	3.403789871929417	1.0224014859114376	M12,M02,M10	M05,M01	306
random_partition_0307	random_3closure_2access_partition	0.3719843560469491	-0.424229847428685	0.3872973853692594	0.6843556015018022	-0.7202864255829007	-0.4700282666897139	12.533213612392952	-0.20197941008911913	-0.20197941008911913	-0.4700282666897139	1.6520018577954243	1.5075381821894391	1.0847570944196485	1.3044773081946182	0.8487798699346262	0.2485047528203614	0.6131084905588456	0.24902200659588378	1.5666635350021403	1.9104332695957345	0.0	0.044444444444444446	0.875	0.875	2.674403343706862	1.0224014859114376	M05,M02,M10	M01,M12	307
random_partition_0308	random_3closure_2access_partition	-0.029200676768199152	0.009204267853939518	-0.5390427258644501	0.5399115282875747	0.9431070302560126	0.036897098666673386	-0.2719258342106587	0.2811161032732706	0.2811161032732706	0.036897098666673386	0.6664884124222956	0.9097589800585225	0.7190713154471746	0.8058489905440669	0.8487798699346262	0.24252440819269136	0.6352857691899544	0.24304650695373106	1.5666635350021403	1.9104332695957345	0.4	0.6888888888888889	0.875	0.875	1.6888898983337333	1.0224014859114376	M01,M05,M10	M12,M02	308
random_partition_0309	random_3closure_2access_partition	0.04246494515375235	0.181117691594372	1.0726040589735357	1.0886167172618146	-0.9282410785288797	-0.053657430053786495	-5.350841605074398	-0.5593736061092061	-0.5593736061092061	-0.053657430053786495	2.1514678016027777	1.7965089180972273	1.1648171226389898	1.6572823809969877	0.8487798699346262	0.2526875051396933	0.5950790894041167	0.2531958543903743	1.5666635350021403	1.9104332695957345	0.0	0.0	0.875	0.875	3.1738692875142154	1.0224014859114376	M01,M10,M02	M05,M12	309
random_partition_0310	random_3closure_2access_partition	0.4268955237134878	0.18314250575506102	-0.4639360197412796	0.6565193035960455	0.40053277053845515	-0.5394123699205335	-5.410661602547771	0.24194721453411389	0.24194721453411389	-0.5394123699205335	0.9750708004366457	1.1021531699144667	0.874039604087178	0.93040838236838	0.8487798699346262	0.24382760999231254	0.6290242445631923	0.24435145484410084	1.5666635350021403	1.9104332695957345	0.1111111111111111	0.4444444444444444	0.875	0.875	1.9974722863480834	1.0224014859114376	M10,M12,M05	M01,M02	310
random_partition_0311	random_3closure_2access_partition	0.0973761128202911	0.788490044778118	0.22137065386299665	0.8247445813425628	-0.3087128013700175	-0.1230415332846061	-23.294716820015122	-0.115446981485973	-0.115446981485973	-0.1230415332846061	1.5142011219143674	1.419035571160181	1.0455112154632786	1.3773088888027234	0.8487798699346262	0.24716745273489607	0.6151623038312022	0.24768815761124346	1.5666635350021403	1.9104332695957345	0.0	0.044444444444444446	0.875	0.875	2.536602607825805	1.0224014859114376	M10,M01,M12	M05,M02	311
random_partition_0312	random_3closure_2access_partition	-0.5114163910846092	-0.6633442400143362	-0.4525726996092116	0.952047453786718	0.6556329349828957	0.6462104009230666	19.5974778979872	0.2360211309001109	0.2360211309001109	0.6462104009230666	0.7032683933050696	0.9346478108341745	0.6987099106102306	0.8200362771644654	0.8487798699346262	0.24305152018113935	0.63805670033192	0.24355853004463382	1.5666635350021403	1.9104332695957345	0.37777777777777777	0.6	0.875	0.875	1.7256698792165073	1.0224014859114376	M01,M02,M05	M12,M10	312
random_partition_0313	random_3closure_2access_partition	-0.05532019060292215	-0.4894060021132148	-0.37746599348604115	0.6205313325136674	0.6090857690862461	0.0699009323358596	14.458742129650089	0.19685224216095426	0.19685224216095426	0.0699009323358596	0.8373352046913101	1.0199823296035575	0.7788944704985183	0.9822092415356898	0.8487798699346262	0.2435613623700897	0.6332894466031914	0.2440770192189053	1.5666635350021403	1.9104332695957345	0.3111111111111111	0.5111111111111111	0.875	0.875	1.8597366906027477	1.0224014859114376	M12,M05,M02	M01,M10	313
random_partition_0314	random_3closure_2access_partition	-0.5114163910846092	-0.6633442400143362	-0.4525726996092116	0.952047453786718	0.6556329349828957	0.6462104009230666	19.5974778979872	0.2360211309001109	0.2360211309001109	0.6462104009230666	0.7032683933050696	0.9346478108341745	0.6987099106102306	0.854363114491614	0.8487798699346262	0.24305152018113935	0.63805670033192	0.24355853004463382	1.5666635350021403	1.9104332695957345	0.37777777777777777	0.6	0.875	0.875	1.7256698792165073	1.0224014859114376	M02,M01,M05	M12,M10	314
random_partition_0315	random_3closure_2access_partition	-0.05532019060292216	-0.4894060021132148	-0.37746599348604115	0.6205313325136674	0.6090857690862461	0.06990093233585962	14.458742129650089	0.19685224216095426	0.19685224216095426	0.06990093233585962	0.8373352046913101	1.0199823296035573	0.7788944704985183	0.8955610377061548	0.8487798699346262	0.2435613623700897	0.6332894466031914	0.2440770192189053	1.5666635350021403	1.9104332695957345	0.3111111111111111	0.5111111111111111	0.875	0.875	1.8597366906027477	1.0224014859114376	M02,M05,M12	M01,M10	315
random_partition_0316	random_3closure_2access_partition	-0.3848396014961189	0.11594153690984221	0.3078406801182352	0.5062705237285354	-0.27576146596076656	0.48627176897178703	-3.42531308781726	-0.16054195385913267	-0.16054195385913267	0.48627176897178703	1.333884654211896	1.3089330979863176	0.9993826741703746	1.102544110239658	0.8487798699346262	0.2466046171224601	0.6205252175389392	0.24712560293714322	1.5666635350021403	1.9104332695957345	0.0	0.044444444444444446	0.875	0.875	2.3562861401233337	1.0224014859114376	M12,M02,M01	M05,M10	316
random_partition_0317	random_3closure_2access_partition	0.4985611456354394	0.35505592949549347	1.1477107650967062	1.3007182359473928	-0.966185899041614	-0.6299668986409934	-10.489577373411509	-0.5985424948483627	-0.5985424948483627	-0.6299668986409934	2.381388386017979	1.9331185458978417	1.185410028635973	1.6113074174212165	0.8487798699346262	0.2546653163516635	0.5866691797114723	0.25517049754395243	1.5666635350021403	1.9104332695957345	0.0	0.0	0.875	0.875	3.403789871929417	1.0224014859114376	M10,M02,M12	M05,M01	317
random_partition_0318	random_3closure_2access_partition	-0.5114163910846092	-0.6633442400143362	-0.4525726996092116	0.952047453786718	0.6556329349828957	0.6462104009230666	19.5974778979872	0.2360211309001109	0.2360211309001109	0.6462104009230666	0.7032683933050696	0.9346478108341745	0.6987099106102306	0.7875872874106168	0.8487798699346262	0.24305152018113935	0.63805670033192	0.24355853004463382	1.5666635350021403	1.9104332695957345	0.37777777777777777	0.6	0.875	0.875	1.7256698792165073	1.0224014859114376	M02,M01,M05	M12,M10	318
random_partition_0319	random_3closure_2access_partition	0.0973761128202911	0.788490044778118	0.22137065386299662	0.8247445813425628	-0.30871280137001744	-0.1230415332846061	-23.294716820015122	-0.11544698148597299	-0.11544698148597299	-0.1230415332846061	1.5142011219143674	1.419035571160181	1.0455112154632786	1.3036250586099414	0.8487798699346262	0.24716745273489607	0.6151623038312022	0.24768815761124346	1.5666635350021403	1.9104332695957345	0.0	0.044444444444444446	0.875	0.875	2.536602607825805	1.0224014859114376	M12,M01,M10	M05,M02	319
random_partition_0320	random_3closure_2access_partition	0.0973761128202911	0.788490044778118	0.22137065386299662	0.8247445813425628	-0.30871280137001744	-0.1230415332846061	-23.294716820015122	-0.11544698148597299	-0.11544698148597299	-0.1230415332846061	1.5142011219143674	1.419035571160181	1.0455112154632786	1.2658371908601622	0.8487798699346262	0.24716745273489607	0.6151623038312022	0.24768815761124346	1.5666635350021403	1.9104332695957345	0.0	0.044444444444444446	0.875	0.875	2.536602607825805	1.0224014859114376	M12,M01,M10	M05,M02	320
random_partition_0321	random_3closure_2access_partition	0.4268955237134878	0.18314250575506102	-0.4639360197412796	0.6565193035960455	0.40053277053845515	-0.5394123699205335	-5.410661602547771	0.24194721453411389	0.24194721453411389	-0.5394123699205335	0.9750708004366457	1.1021531699144667	0.874039604087178	0.9150070686497337	0.8487798699346262	0.24382760999231254	0.6290242445631923	0.24435145484410084	1.5666635350021403	1.9104332695957345	0.1111111111111111	0.4444444444444444	0.875	0.875	1.9974722863480834	1.0224014859114376	M12,M10,M05	M01,M02	321
random_partition_0322	random_3closure_2access_partition	-0.4565052234180704	-0.055971886830590234	-1.3038061047197507	1.3825484547848037	0.9982168850629266	0.5768262976922469	1.6536026830464774	0.679947755523344	0.679947755523344	0.5768262976922469	-0.07448772011859117	0.40384864217116573	0.28200959999600483	0.40431737841505555	0.8487798699346262	0.23956369709225395	0.6475674546794258	0.24006175079430622	1.5666635350021403	1.9104332695957345	0.9555555555555556	1.0	0.875	0.875	0.9479137657928465	1.0224014859114376	M12,M01,M05	M02,M10	322
random_partition_0323	random_3closure_2access_partition	0.0973761128202911	0.788490044778118	0.22137065386299662	0.8247445813425628	-0.30871280137001744	-0.1230415332846061	-23.294716820015122	-0.11544698148597299	-0.11544698148597299	-0.1230415332846061	1.5142011219143674	1.419035571160181	1.0455112154632786	1.1222796131794373	0.8487798699346262	0.24716745273489607	0.6151623038312022	0.24768815761124346	1.5666635350021403	1.9104332695957345	0.0	0.044444444444444446	0.875	0.875	2.536602607825805	1.0224014859114376	M01,M12,M10	M05,M02	323
random_partition_0324	random_3closure_2access_partition	-0.05532019060292215	-0.4894060021132148	-0.37746599348604115	0.6205313325136674	0.6090857690862461	0.0699009323358596	14.458742129650089	0.19685224216095426	0.19685224216095426	0.0699009323358596	0.8373352046913101	1.0199823296035575	0.7788944704985183	0.7684845476990956	0.8487798699346262	0.2435613623700897	0.6332894466031914	0.2440770192189053	1.5666635350021403	1.9104332695957345	0.3111111111111111	0.5111111111111111	0.875	0.875	1.8597366906027477	1.0224014859114376	M02,M12,M05	M01,M10	324
